Company Name,Year,Location,Sector,Website,Description
0-mission,2022,Denmark,Energy and ClimateTech,https://the0mission.dk,Enables SMEs to add renewables to the grid
913.ai,2023,Germany,B2B Software,https://www.913.ai,One Platform to Build Test and Integrate Custom AI Agents to Handle all your Workflows and Knowledge
ABIVO,2025,Canada,FinTech,https://abivo.ai,AI collections staff that can call text and email clients ensuring timely follow-ups and reducing overdue invoices
ACSIRYO K.K.,2025,Japan,Health and BioTech,https://acsiryo.com/,Automating chronic disease monitoring through satellite health stations and cloud-based specialist support
ARCA,2024,,Energy and ClimateTech,https://arca.eco,Revolutionizing recycling through advanced waste sorting solutions
ARDOR,2024,Singapore,B2B Software,https://ardor.cloud,The Platform Where Agents Build Agents to Revolutionize Software
ARKI,2023,Canada,Real Estate and PropTech,https://www.getarki.com/,AI search for construction to leverage internal data for automating future work
AURELIA INSIGHTS,2025,Malaysia,B2B Software,https://www.aurelia.asia/,Future proof food safety compliance
Abel Studios,2024,Netherlands,ConsumerTech,,Engaging and original audio entertainment for kids
Abode,2023,,Real Estate and PropTech,https://www.withabode.com/,AI powered platform transforming housing affordability and providing investors access to unique single-family rentals
Abode Labs,2024,US,Real Estate and PropTech,https://abodelabs.ai/,AI-first automation for Real Estate starting with Title
Abstraction,2024,US,B2B Software,https://www.abstractionlabs.ai,AI teammates for sales CX and product teams to automate complex workflows 10x faster and deploy in minutes
Acanthis,2022,Australia,B2B Software,https://acanthis.io,Integrated SaaS web application that provides SMBs with insights and advice in an understandable way
Access Carbon,2024,,FinTech,https://www.access-carbon.com/,Accelerating efficient pricing of emissions through unlocking individual and institutional investment access to global carbon markets
Acrux Education,2023,Australia,ConsumerTech,https://teacherea.com,Revolutionizes Maths education with AI-powered assessment marking enhancing student performance
Ad Auris,2021,,ConsumerTech,https://www.ad-auris.com,
Adamata,2024,Indonesia,Energy and ClimateTech,,Waste Mining: AI-Powered Robot Sorter for Indonesian Mixed Waste
Adrenaline Interactive,2024,US,B2B Software,https://adrenalineinteractive.ai/,Programmatic product placement in video games
AdvancePay (Zilla),2022,,B2B Software,https://www.advancepay.io/,Database showing content creator and brand relationships for transparent influencer marketing
AdviseWell,2024,Australia,B2B Software,https://www.advisewell.co/,Streamlines and automates complex financial strategy creation for Financial Advisers
Aesty,2024,United Arab Emirates,ConsumerTech,https://aesty.ai,AI-powered closet companion for wardrobe organization and shopping recommendations
Aevy,2024,,Energy and ClimateTech,https://aevy.io/,Scalable renewable asset management
Agenta.ai,,,,https://agenta.ai,The open-source platform for bringing LLM apps to production
Agentio,2023,US,B2B Software,https://agentio.com/,Programmatic ad network for professional content creators
Agri Sparta,2023,Indonesia,Industrials,http://www.agrisparta.com,Industrializing rice farming
Agrigate,2023,Indonesia,Industrials,https://www.agrigate.id/,Building resilient agricultural supply chains for businesses worldwide
Agrovisia,2024,Brazil,Industrials,https://www.agrovisia.com.br/,Real-time soil fertility mapping
AiCare,2021,Kenya,B2B Software,http://aicare.co.ke,IoT and AI for accurate motor insurance risk assessment
Aiba,2022,,B2B Software,https://aiba.ai,Detection of fake profiles online grooming and toxicity
Aiden,2024,Germany,Real Estate and PropTech,https://getaiden.com,AI-Assistant for Residential Property Management
Aimars,2023,Germany,B2B Software,https://www.aimars.io/,The AI Driven Sales Optimization Platform
Airalo,2019,Singapore,ConsumerTech,https://www.airalo.com/,World's first eSIM store for 190+ countries worldwide at affordable prices
Airballoon,2023,Korea,ConsumerTech,https://airballoon.app,Business authentication and brokerage platform for online business
Aircity,2022,,Real Estate and PropTech,https://www.aircity.network/,Property Management Made Simplified
Airmo,2023,Germany,Energy and ClimateTech,https://airmo.io,New approach to locate quantify and track methane emissions
Aival,2020,UK,Health and BioTech,https://www.aival.io/,Software to evaluate and monitor AI solutions in healthcare
Akar,2022,Indonesia,Industrials,https://www.akar.cloud,Manufacturing and distribution of modular indoor farming in urban cities
Alcolase,2023,Denmark,Health and BioTech,https://alcolase.com/,Developing dietary supplement for alcohol intolerance
Alea Health,2024,United Arab Emirates,Health and BioTech,https://aleahealth.co/,AI-assisted virtual mental health clinic
Allihoop,2020,Sweden,Real Estate and PropTech,https://www.allihoop.se/,Technology enabled co-living brand for urban professionals
Allspring,2022,,B2B Software,https://www.tryallspring.com,
Alpha Impact,2021,,FinTech,https://alphaimpact.fi/,Platform for cryptocurrency trading following industry veterans
AlphaNova,2024,United Arab Emirates,FinTech,https://www.alphanova.tech,Asset Management platform crowdsourcing trading signals
AlphaShine,2022,Canada,ConsumerTech,https://www.alphashine.io/,Digital subscription for car detailing
Alphaguard,2024,France,FinTech,https://alphaguard.ai/,AI agents for preventing fraud in public procurement
Alphaloops,2023,UK,FinTech,https://www.alphaloops.ai/,Automating investment management operations using AI
Alt Fashion,2024,India,ConsumerTech,https://www.myalt.shop/,Meta search engine for fashion
Alterno,2023,,Energy and ClimateTech,https://www.alterno.group,Silica-based zero emission commercial heat solution
Alva,2024,Norway,Energy and ClimateTech,https://www.alva.as,Automated & hassle-free energy management system
Aman Vision,2024,Saudi Arabia,B2B Software,https://www.amanvision.ai,AI-powered Environment Health and Safety (EHS) platform
American Housing Corp,2024,US,Industrials,https://americanhousing.co/,Modular building system to address housing crisis
Amino Chain,2023,US,Health and BioTech,https://aminochain.io/,Platform for biospecimen discovery and acquisition
Ampfox,2024,Brazil,B2B Software,https://www.ampfox.co/,Digital platform for efficient electric vehicle adoption
Amptiv Biosciences,2024,US,Health and BioTech,https://www.amptivbio.com/,Augmenting mRNA therapeutics with novel molecular toolkit
Anda,2023,Australia,Health and BioTech,https://breathewithanda.com/,Stylish smart wearable company for wellness
Andisor,2021,Australia,B2B Software,http://www.andisor.com,Wholesale sourcing platform for multibrand retailers
Animum,2024,Sweden,Industrials,https://animum.ai,Software for robots and autonomous retail restocking
Annuum,2023,,FinTech,https://www.annuum.io,Optimising commercial real estate financing
Anyreach,2025,US,B2B Software,https://anyreach.ai/,AI-voice solution for call optimization
Aona AI,2023,Australia,B2B Software,https://www.aona.ai/,Secure advanced AI access platform for business
Arable,2024,Saudi Arabia,Industrials,https://www.arablefarms.com,Hydroponic technology for arid conditions farming
Arbo,2024,,Industrials,https://www.arbo-holz.de/,Digital B2B marketplace for timber procurement
Arctiq,2023,,ConsumerTech,https://www.arctiq.ai,AI-powered study assistance platform
Arkion,2019,Sweden,Energy and ClimateTech,https://www.arkion.co/,AI-powered asset intelligence for power grids
ArkoPay,2023,Indonesia,FinTech,https://arkopay.com/,Financial solution for construction businesses
Armada Brands,2021,,ConsumerTech,https://www.armada-brands.com/,Acquires and grows high performing ecommerce brands
Arus,2024,,Real Estate and PropTech,https://www.arus.aero/,Maintenance drones for property management
AskVinny,2024,UK,Real Estate and PropTech,https://www.askvinny.co.uk/,AI agents for property management
AssetFindr,2024,Indonesia,B2B Software,https://assetfindr.com/,End-to-end asset maintenance management
AssistTeacher,2024,,ConsumerTech,https://www.assistteacher.com,AI-enabled education tools for homework and assessment
Assure AI,2024,US,B2B Software,https://www.weassure.ai/home,Helping vendors sell into healthcare faster
Astrid Wild,2019,Sweden,ConsumerTech,https://astridwild.com,Outdoor fashion for women
Atium,,,,,,
Aumber,2022,,B2B Software,https://aumber.io/,Cloud platform for smart device testing
Auric,2024,Australia,Health and BioTech,https://www.auric.au,AI-powered Mood as a Service with connected aromas
Authentified,2024,Australia,B2B Software,http://www.authentified.co,Authentication platform for resale ecosystem
Autodraft,2024,India,B2B Software,https://autodraft.in/,AI animation tool for content creators
Automicle,,Netherlands,B2B Software,,Unified API for local mobility services
AvataraLabs,2025,Indonesia,B2B Software,https://avataralabs.ai/,AI Virtual Sellers platform
Avertro,2019,Australia,B2B Software,https://www.avertro.com/,Cybersecurity management and reporting platform
Avid International,2019,,ConsumerTech,avid.fm,Platform for creating and selling audio courses
AxisNow,2025,Singapore,B2B Software,https://www.axisnow.io/,Identity and Access Management for Non-Human Entities
B4Grad,2022,,ConsumerTech,https://b4grad.com/,Edtech platform for student notes and flashcards
Balo,2024,Australia,B2B Software,https://balo.expert,Enterprise Software Help Desk with expert network
Balthazar,2024,Netherlands,B2B Software,https://balthazar.app/,Self-driving labs for hardware
BankBridge,2023,UK,FinTech,https://bankbridge.uk,Due diligence platform for financial institutions
Banqora,2024,UK,FinTech,https://www.banqora.com/,Operational efficiency platform for financial institutions
Barely Skin,2024,Vietnam,ConsumerTech,https://www.barely.skin/,Personalized dermatology-level skin treatment
Base,2019,,ConsumerTech,https://www.base.co.id/,Personalized skincare in Indonesia
Baselime,2021,,B2B Software,baselime.io,Observability solution for serverless architectures
Basemaker,2023,Brazil,ConsumerTech,https://www.basemaker.co/,Digital marketing platform for influencer campaigns
Baser,2022,,B2B Software,https://getbaser.com/,Automated SEO optimization platform
Beemi,2023,Kenya,ConsumerTech,https://beemi.app/,Interactive games platform for social media streaming
Bella,2024,Australia,B2B Software,https://bellasales.io/,AI Sales Agent for LinkedIn & Email
Benjamin Capital,2022,,FinTech,https://www.benjaminone.com/,Banking platform connecting merchants and customers
BetterChoice,2023,,Energy and ClimateTech,https://betterchoice.today,Holistic scoring system for sustainable purchasing
Beyond Robotics,2024,Korea,Industrials,https://www.beyond-robotics.ai,3D AI Vision-based Mobile Robot for Agriculture
fileAI,2024,,B2B Software,https://www.file.ai/,AI automation solutions for end-to-end file processing
HIFI Bridge,2024,,FinTech,https://www.hifibridge.com/,Crypto payment acceptance platform for businesses
Klearly,2024,,FinTech,https://klearly.nl,Simplify payment acceptance for SMBs throughout Europe
ORA,2024,,Health and BioTech,https://www.ora.group,Powering direct-to-patient healthcare in South East Asia
Pemo,2024,United Arab Emirates,FinTech,https://www.pemo.io,Expense management platform for MENA businesses
Sona,2024,,B2B Software,https://www.getsona.com,Frontline workforce efficiency and engagement solution
Two,2024,,FinTech,https://two.inc,BNPL for B2B
Wrtn,2024,Korea,B2B Software,https://wrtn.ai,AI natural language superapp for South Korea 